profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9,profile_10,profile_11,profile_12,profile_13,profile_14,profile_15,profile_16,profile_17,profile_18,profile_19,profile_20
0.234,0.0439,0.0509,0.0509,0.0439,0.0509,0.234,0.234,0.0509,0.0439,0.0394,0.2251,0.2237,0.0506,0.0457,0.0434,0.2283,0.0427,0.2101,0.0488
0.3153,0.0612,0.09,0.09,0.0612,0.09,0.3153,0.3153,0.09,0.0612,0.0534,0.2979,0.3065,0.0869,0.0825,0.0628,0.3091,0.0608,0.2674,0.0907
0.2892,0.0208,0.0557,0.0557,0.0208,0.0557,0.2892,0.2892,0.0557,0.0208,0.0172,0.2374,0.2622,0.0506,0.049,0.0214,0.3021,0.0189,0.2684,0.0603
0.2374,0.0538,0.0635,0.0635,0.0538,0.0635,0.2374,0.2374,0.0635,0.0538,0.0488,0.1956,0.2108,0.0637,0.0572,0.0527,0.2235,0.0529,0.203,0.0638
0.1236,0.0517,0.064,0.064,0.0517,0.064,0.1236,0.1236,0.064,0.0517,0.0501,0.1096,0.1204,0.0589,0.052,0.0563,0.1136,0.0506,0.1242,0.0613
0.0833,0.053,0.2893,0.2893,0.053,0.2893,0.0833,0.0833,0.2893,0.053,0.0467,0.0721,0.0862,0.2782,0.2286,0.0541,0.0803,0.0531,0.0712,0.2622
0.0532,0.044,0.7294,0.7294,0.044,0.7294,0.0532,0.0532,0.7294,0.044,0.0405,0.0508,0.0512,0.7526,0.586,0.0469,0.0532,0.04,0.0523,0.7039
0.1673,0.1679,0.9518,0.9518,0.1679,0.9518,0.1673,0.1673,0.9518,0.1679,0.1409,0.1416,0.156,0.9586,0.8204,0.1564,0.1748,0.1896,0.1643,0.9063
0.2127,0.546,0.6552,0.6552,0.546,0.6552,0.2127,0.2127,0.6552,0.546,0.4788,0.1942,0.1919,0.6045,0.6113,0.5312,0.1872,0.5199,0.1798,0.6458
0.2613,0.506,0.22,0.22,0.506,0.22,0.2613,0.2613,0.22,0.506,0.4299,0.2237,0.2668,0.2184,0.2034,0.4974,0.2688,0.5214,0.23,0.2236
0.1997,0.758,0.0473,0.0473,0.758,0.0473,0.1997,0.1997,0.0473,0.758,0.684,0.1757,0.1783,0.0474,0.0372,0.7284,0.2052,0.7054,0.176,0.0443
0.2289,0.2761,0.0595,0.0595,0.2761,0.0595,0.2289,0.2289,0.0595,0.2761,0.2741,0.2291,0.2045,0.0596,0.0499,0.278,0.216,0.2759,0.2173,0.0602
0.6439,0.4608,0.057,0.057,0.4608,0.057,0.6439,0.6439,0.057,0.4608,0.4172,0.5451,0.5871,0.0583,0.054,0.4475,0.6269,0.4317,0.5855,0.058
0.7644,0.3473,0.0482,0.0482,0.3473,0.0482,0.7644,0.7644,0.0482,0.3473,0.3002,0.735,0.7565,0.0476,0.0413,0.3411,0.6638,0.3263,0.7242,0.0459
0.8814,0.6883,0.0456,0.0456,0.6883,0.0456,0.8814,0.8814,0.0456,0.6883,0.6429,0.8232,0.8208,0.0456,0.0366,0.6996,0.8426,0.7324,0.8111,0.0434
0.8322,0.7837,0.0579,0.0579,0.7837,0.0579,0.8322,0.8322,0.0579,0.7837,0.7223,0.7531,0.789,0.0583,0.0512,0.7759,0.8101,0.7665,0.7615,0.0576
0.7836,0.4207,0.0402,0.0402,0.4207,0.0402,0.7836,0.7836,0.0402,0.4207,0.3495,0.6671,0.7544,0.0406,0.034,0.4408,0.8069,0.4335,0.767,0.0371
0.3914,0.0331,0.0524,0.0524,0.0331,0.0524,0.3914,0.3914,0.0524,0.0331,0.0291,0.3352,0.355,0.0486,0.0454,0.0314,0.3699,0.034,0.338,0.0555
0.073,0.0633,0.1074,0.1074,0.0633,0.1074,0.073,0.073,0.1074,0.0633,0.054,0.0645,0.0678,0.113,0.0924,0.0627,0.0694,0.0575,0.0665,0.1163
0.1042,0.0377,0.226,0.226,0.0377,0.226,0.1042,0.1042,0.226,0.0377,0.035,0.09,0.1026,0.2336,0.2129,0.0362,0.1001,0.0386,0.0986,0.2125
0.0772,0.0622,0.1147,0.1147,0.0622,0.1147,0.0772,0.0772,0.1147,0.0622,0.0566,0.0706,0.0769,0.1068,0.1093,0.0603,0.0739,0.0615,0.0659,0.1123
0.063,0.0699,0.1873,0.1873,0.0699,0.1873,0.063,0.063,0.1873,0.0699,0.0698,0.0552,0.0606,0.189,0.15,0.0683,0.0659,0.0714,0.0582,0.1951
0.0774,0.0437,0.1101,0.1101,0.0437,0.1101,0.0774,0.0774,0.1101,0.0437,0.0365,0.073,0.0711,0.1046,0.0934,0.0419,0.0777,0.0412,0.0712,0.1171
0.0833,0.0558,0.0464,0.0464,0.0558,0.0464,0.0833,0.0833,0.0464,0.0558,0.0497,0.0778,0.0731,0.0465,0.0442,0.0544,0.0802,0.0569,0.0731,0.0505
